Radius	HII_fraction	HI_fraction	HeIII_fraction	HeII_fraction	HeI_fraction	Temperature
0.000000000000000000e+00	9.999990463256835938e-01	9.536743164062500000e-07	9.999990463256835938e-01	6.157023821006174201e-84	9.536743164062500000e-07	9.999990558624267578e+05
9.998955221942214949e-03	9.999990158914712213e-01	9.841085287787265656e-07	9.965218636992854151e-01	3.477182166966159751e-03	9.541337484954964053e-07	7.317992468328794930e+05
1.999791044388442990e-02	9.999983218367194393e-01	1.678163280560696080e-06	5.400160768107988840e-01	4.599823620533663449e-01	1.561135834612382948e-06	9.602794352442765376e+04
2.999686566582664485e-02	9.999967221910103232e-01	3.277808989676778140e-06	2.440924445676565290e-06	9.999928682237093636e-01	4.690851845039977383e-06	4.981963885105062218e+04
3.999582088776885980e-02	9.999939782231888064e-01	6.021776811193646495e-06	9.536744178339972402e-07	9.999900491944186953e-01	8.997131163466954310e-06	3.697467541930743027e+04
4.999477610971107822e-02	9.999902944285168349e-01	9.705571483165087443e-06	9.999852773461340882e-31	9.999852773461340716e-01	1.472265386594692219e-05	3.216143065277617279e+04
5.999373133165328970e-02	9.999855303368547776e-01	1.446966314522235564e-05	9.999779717763303764e-31	9.999779717763304099e-01	2.202822366960027664e-05	2.962638645413314953e+04
6.999268655359551505e-02	9.999795069797454694e-01	2.049302025453059173e-05	9.999689011133775395e-31	9.999689011133776617e-01	3.109888662236132357e-05	2.798451611899022100e+04
7.999164177553771959e-02	9.999719798764743484e-01	2.802012352565164122e-05	9.999578355399319051e-31	9.999578355399317831e-01	4.216446006821607267e-05	2.677963542915371727e+04
8.999059699747993801e-02	9.999625949785297951e-01	3.740502147020485779e-05	9.999444638725370069e-31	9.999444638725371037e-01	5.553612746293224952e-05	2.582177174365818792e+04
9.998955221942215643e-02	9.999508244778871902e-01	4.917552211280984409e-05	9.999283485253663328e-31	9.999283485253664949e-01	7.165147463353129865e-05	2.501722831821484215e+04
1.099885074413643610e-01	9.999358582114106220e-01	6.414178858937802374e-05	9.999088549321752651e-31	9.999088549321752950e-01	9.114506782467334987e-05	2.431247525495310401e+04
1.199874626633065794e-01	9.999164064085848125e-01	8.359359141518751812e-05	9.998850315527608028e-31	9.998850315527607613e-01	1.149684472392158098e-04	2.367215933972653147e+04
1.299864178852487839e-01	9.998903137770156491e-01	1.096862229843509340e-04	9.998553896755138057e-31	9.998553896755135728e-01	1.446103244863846066e-04	2.306895257524401677e+04
1.399853731071910301e-01	9.998537323924394649e-01	1.462676075605351400e-04	9.998174610962951090e-31	9.998174610962949904e-01	1.825389037050303704e-04	2.247760619218205102e+04
1.499843283291332208e-01	9.997991175953520049e-01	2.008824046479951164e-04	9.997667961170095916e-31	9.997667961170095818e-01	2.332038829903387476e-04	2.186964994466447388e+04
1.599832835510754392e-01	9.997093942871366767e-01	2.906057128633232622e-04	9.996942447166123845e-31	9.996942447166123902e-01	3.057552833875779464e-04	2.120486440753090938e+04
1.699822387730176576e-01	9.995344917681348029e-01	4.655082318651970752e-04	9.995757733626169395e-31	9.995757733626169372e-01	4.242266373830416238e-04	2.040473062876635231e+04
1.799811939949598760e-01	9.989879465512458978e-01	1.012053448754102192e-03	9.992901231516079856e-31	9.992901231516079230e-01	7.098768483921017065e-04	1.913968990300045698e+04
1.899801492169020944e-01	9.694491218817289369e-01	3.055087811827106314e-02	9.887021716565980844e-31	9.887021716565982388e-01	1.129782834340176123e-02	1.330881747129904215e+04
1.999791044388443129e-01	2.301849521445500923e-02	9.769815047855450185e-01	2.495907149168222520e-31	2.495907149168222483e-01	7.504092850831778350e-01	8.377899752503632044e+03
2.099780596607864758e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
2.199770148827287219e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
2.299759701046709404e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
2.399749253266131588e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
2.499738805485553772e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
2.599728357704975679e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
2.699717909924398418e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
2.799707462143820602e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
2.899697014363242231e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
2.999686566582664415e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
3.099676118802086600e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
3.199665671021508784e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
3.299655223240930968e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
3.399644775460353152e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
3.499634327679775336e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
3.599623879899197521e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
3.699613432118619150e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
3.799602984338041889e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
3.899592536557463518e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
3.999582088776886257e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
4.099571640996308441e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
4.199561193215729515e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
4.299550745435152255e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
4.399540297654574439e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
4.499529849873996068e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
4.599519402093418807e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
4.699508954312841547e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
4.799498506532263176e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
4.899488058751684805e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
4.999477610971107544e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
5.099467163190529728e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
5.199456715409951357e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
5.299446267629374097e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
5.399435819848796836e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
5.499425372068218465e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
5.599414924287641204e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
5.699404476507062833e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
5.799394028726484462e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
5.899383580945906091e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
5.999373133165328831e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
6.099362685384750460e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
6.199352237604173199e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
6.299341789823594828e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
6.399331342043017568e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
6.499320894262439197e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
6.599310446481861936e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
6.699299998701284675e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
6.799289550920706304e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
6.899279103140129044e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
6.999268655359550673e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
7.099258207578972302e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
7.199247759798395041e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
7.299237312017816670e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
7.399226864237238299e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
7.499216416456661038e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
7.599205968676083778e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
7.699195520895505407e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
7.799185073114927036e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
7.899174625334350885e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
7.999164177553772515e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
8.099153729773194144e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
8.199143281992616883e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
8.299132834212039622e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
8.399122386431459031e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
8.499111938650882880e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
8.599101490870304509e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
8.699091043089726139e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
8.799080595309148878e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
8.899070147528570507e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
8.999059699747992136e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
9.099049251967415985e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
9.199038804186837615e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
9.299028356406259244e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
9.399017908625683093e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
9.499007460845104722e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
9.598997013064526351e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
9.698986565283947980e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
9.798976117503369609e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
9.898965669722792349e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
9.998955221942215088e-01	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+01
